id,date,store_nbr,family,sales,onpromotion,output
0,None,1,AUTOMOTIVE,0,0,0
1,1/1/2013,1,BABY CARE,0,0,0
2,1/1/2013,1,BEAUTY,0,0,0
3,1/1/2013,1,BEVERAGES,0,0,0
4,1/1/2013,1,BOOKS,0,0,0
5,1/1/2013,1,BREAD/BAKERY,0,0,0
6,1/1/2013,1,CELEBRATION,0,0,0
7,1/1/2013,1,CLEANING,0,0,0
8,1/1/2013,1,DAIRY,0,0,0
9,1/1/2013,1,DELI,0,0,0
10,1/1/2013,1,EGGS,0,0,0
11,1/1/2013,1,FROZEN FOODS,0,0,0
12,1/1/2013,1,GROCERY I,0,0,0
13,1/1/2013,1,GROCERY II,0,0,0
14,1/1/2013,1,HARDWARE,0,0,0
15,1/1/2013,1,HOME AND KITCHEN I,0,0,0
16,1/1/2013,1,HOME AND KITCHEN II,0,0,0
17,1/1/2013,1,HOME APPLIANCES,0,0,0
18,1/1/2013,1,HOME CARE,0,0,0
19,1/1/2013,1,LADIESWEAR,0,0,0
20,1/1/2013,1,LAWN AND GARDEN,0,0,0
21,1/1/2013,1,LINGERIE,0,0,0
22,1/1/2013,1,"LIQUOR,WINE,BEER",0,0,0
23,1/1/2013,1,MAGAZINES,0,0,0
24,1/1/2013,1,MEATS,0,0,0
25,1/1/2013,1,PERSONAL CARE,0,0,0
26,1/1/2013,1,PET SUPPLIES,0,0,0
27,1/1/2013,1,PLAYERS AND ELECTRONICS,0,0,0
28,1/1/2013,1,POULTRY,0,0,0
29,1/1/2013,1,PREPARED FOODS,0,0,0
30,1/1/2013,1,PRODUCE,0,0,0
31,1/1/2013,1,SCHOOL AND OFFICE SUPPLIES,0,0,0
32,1/1/2013,1,SEAFOOD,0,0,0
33,1/1/2013,10,AUTOMOTIVE,0,0,0
34,1/1/2013,10,BABY CARE,0,0,0
35,1/1/2013,10,BEAUTY,0,0,0
36,1/1/2013,10,BEVERAGES,0,0,0
37,1/1/2013,10,BOOKS,0,0,0
38,1/1/2013,10,BREAD/BAKERY,0,0,0
39,1/1/2013,10,CELEBRATION,0,0,0
40,1/1/2013,10,CLEANING,0,0,0
41,1/1/2013,10,DAIRY,0,0,0
42,1/1/2013,10,DELI,0,0,0
43,1/1/2013,10,EGGS,0,0,0
44,1/1/2013,10,FROZEN FOODS,0,0,0
45,1/1/2013,10,GROCERY I,0,0,0
46,1/1/2013,10,GROCERY II,0,0,0
47,1/1/2013,10,HARDWARE,0,0,0
48,1/1/2013,10,HOME AND KITCHEN I,0,0,0
49,1/1/2013,10,HOME AND KITCHEN II,0,0,0
50,1/1/2013,10,HOME APPLIANCES,0,0,0
51,1/1/2013,10,HOME CARE,0,0,0
52,1/1/2013,10,LADIESWEAR,0,0,0
53,1/1/2013,10,LAWN AND GARDEN,0,0,0
54,1/1/2013,10,LINGERIE,0,0,0
55,1/1/2013,10,"LIQUOR,WINE,BEER",0,0,0
56,1/1/2013,10,MAGAZINES,0,0,0
57,1/1/2013,10,MEATS,0,0,0
58,1/1/2013,10,PERSONAL CARE,0,0,0
59,1/1/2013,10,PET SUPPLIES,0,0,0
60,1/1/2013,10,PLAYERS AND ELECTRONICS,0,0,0
61,1/1/2013,10,POULTRY,0,0,0
62,1/1/2013,10,PREPARED FOODS,0,0,0
63,1/1/2013,10,PRODUCE,0,0,0
64,1/1/2013,10,SCHOOL AND OFFICE SUPPLIES,0,0,0
65,1/1/2013,10,SEAFOOD,0,0,0
66,1/1/2013,11,AUTOMOTIVE,0,0,0
67,1/1/2013,11,BABY CARE,0,0,0
68,1/1/2013,11,BEAUTY,0,0,0
69,1/1/2013,11,BEVERAGES,0,0,0
70,1/1/2013,11,BOOKS,0,0,0
71,1/1/2013,11,BREAD/BAKERY,0,0,0
72,1/1/2013,11,CELEBRATION,0,0,0
73,1/1/2013,11,CLEANING,0,0,0
74,1/1/2013,11,DAIRY,0,0,0
75,1/1/2013,11,DELI,0,0,0
76,1/1/2013,11,EGGS,0,0,0
77,1/1/2013,11,FROZEN FOODS,0,0,0
78,1/1/2013,11,GROCERY I,0,0,0
79,1/1/2013,11,GROCERY II,0,0,0
80,1/1/2013,11,HARDWARE,0,0,0
81,1/1/2013,11,HOME AND KITCHEN I,0,0,0
82,1/1/2013,11,HOME AND KITCHEN II,0,0,0
83,1/1/2013,11,HOME APPLIANCES,0,0,0
84,1/1/2013,11,HOME CARE,0,0,0
85,1/1/2013,11,LADIESWEAR,0,0,0
86,1/1/2013,11,LAWN AND GARDEN,0,0,0
87,1/1/2013,11,LINGERIE,0,0,0
88,1/1/2013,11,"LIQUOR,WINE,BEER",0,0,0
89,1/1/2013,11,MAGAZINES,0,0,0
90,1/1/2013,11,MEATS,0,0,0
91,1/1/2013,11,PERSONAL CARE,0,0,0
92,1/1/2013,11,PET SUPPLIES,0,0,0
93,1/1/2013,11,PLAYERS AND ELECTRONICS,0,0,0
94,1/1/2013,11,POULTRY,0,0,0
95,1/1/2013,11,PREPARED FOODS,0,0,0
96,1/1/2013,11,PRODUCE,0,0,0
97,1/1/2013,11,SCHOOL AND OFFICE SUPPLIES,0,0,0
98,1/1/2013,11,SEAFOOD,0,0,0
99,1/1/2013,12,AUTOMOTIVE,0,0,0
100,1/1/2013,12,BABY CARE,0,0,0
101,1/1/2013,12,BEAUTY,0,0,0
102,1/1/2013,12,BEVERAGES,0,0,0
103,1/1/2013,12,BOOKS,0,0,0
104,1/1/2013,12,BREAD/BAKERY,0,0,0
105,1/1/2013,12,CELEBRATION,0,0,0
106,1/1/2013,12,CLEANING,0,0,0
107,1/1/2013,12,DAIRY,0,0,0
108,1/1/2013,12,DELI,0,0,0
109,1/1/2013,12,EGGS,0,0,0
110,1/1/2013,12,FROZEN FOODS,0,0,0
111,1/1/2013,12,GROCERY I,0,0,0
112,1/1/2013,12,GROCERY II,0,0,0
113,1/1/2013,12,HARDWARE,0,0,0
114,1/1/2013,12,HOME AND KITCHEN I,0,0,0
115,1/1/2013,12,HOME AND KITCHEN II,0,0,0
116,1/1/2013,12,HOME APPLIANCES,0,0,0
117,1/1/2013,12,HOME CARE,0,0,0
118,1/1/2013,12,LADIESWEAR,0,0,0
119,1/1/2013,12,LAWN AND GARDEN,0,0,0
120,1/1/2013,12,LINGERIE,0,0,0
121,1/1/2013,12,"LIQUOR,WINE,BEER",0,0,0
122,1/1/2013,12,MAGAZINES,0,0,0
123,1/1/2013,12,MEATS,0,0,0
124,1/1/2013,12,PERSONAL CARE,0,0,0
125,1/1/2013,12,PET SUPPLIES,0,0,0
126,1/1/2013,12,PLAYERS AND ELECTRONICS,0,0,0
127,1/1/2013,12,POULTRY,0,0,0
128,1/1/2013,12,PREPARED FOODS,0,0,0
129,1/1/2013,12,PRODUCE,0,0,0
130,1/1/2013,12,SCHOOL AND OFFICE SUPPLIES,0,0,0
131,1/1/2013,12,SEAFOOD,0,0,0
132,1/1/2013,13,AUTOMOTIVE,0,0,0
133,1/1/2013,13,BABY CARE,0,0,0
134,1/1/2013,13,BEAUTY,0,0,0
135,1/1/2013,13,BEVERAGES,0,0,0
136,1/1/2013,13,BOOKS,0,0,0
137,1/1/2013,13,BREAD/BAKERY,0,0,0
138,1/1/2013,13,CELEBRATION,0,0,0
139,1/1/2013,13,CLEANING,0,0,0
140,1/1/2013,13,DAIRY,0,0,0
141,1/1/2013,13,DELI,0,0,0
142,1/1/2013,13,EGGS,0,0,0
143,1/1/2013,13,FROZEN FOODS,0,0,0
144,1/1/2013,13,GROCERY I,0,0,0
145,1/1/2013,13,GROCERY II,0,0,0
146,1/1/2013,13,HARDWARE,0,0,0
147,1/1/2013,13,HOME AND KITCHEN I,0,0,0
