dataset,dataset_shape,autoclean_score,autoclean_time,accelera_score,accelera_time,dataset_type,problem_type
startup_founder_burnout_2026,"(50000, 29)",0.9968,23.93317699432373,0.994525,9.17773962020874,tabular_dataset,classification
healthy_diet_calorie_intake,"(6000, 15)",0.9814583333333333,2.5311756134033203,0.9754166666666667,1.3561711311340332,tabular_dataset,classification
ai_student,"(50000, 16)",0.47055,29.417603969573975,0.48897500000000005,21.612882137298584,tabular_dataset,classification
gaming_addiction,"(250, 49)",0.945,4.482959270477295,0.98,2.688735246658325,tabular_dataset,classification
Teen_Mental_Health_Dataset,"(1200, 13)",0.9947916666666666,1.5337047576904297,0.98125,1.6311936378479004,tabular_dataset,classification
student_exam_performance_dataset,"(10000, 17)",0.8416250000000001,8.563560962677002,0.83625,8.076538562774658,tabular_dataset,classification
heart,"(302, 14)",0.7663934426229508,1.3951265811920166,0.7827868852459017,1.707423210144043,tabular_dataset,classification
Dataset_spine,"(310, 7)",0.842741935483871,1.6411917209625244,0.8225806451612903,0.48773646354675293,tabular_dataset,classification
diabetes_dataset,"(100000, 31)",0.9978625000000001,23.535691022872925,0.9957125000000001,28.025388717651367,tabular_dataset,classification
student_placement_synthetic,"(100000, 18)",0.6870999999999999,388.5234742164612,0.8886,19.810943603515625,tabular_dataset,classification
Titanic-Dataset,"(891, 12)",0.7611731843575419,1.4540982246398926,0.8100558659217877,0.5878458023071289,tabular_dataset,classification
customer_purchase_data,"(1388, 9)",0.8732014388489209,0.8524196147918701,0.8615107913669066,0.43257904052734375,tabular_dataset,classification
CarPrice_Assignment,"(205, 26)",0.8898601807422893,1.9313404560089111,0.867870708023081,1.3187971115112305,tabular_dataset,regression
Concrete_Data_Yeh,"(1005, 9)",0.8616465637410416,0.975792407989502,0.7817202315679532,0.7072799205780029,tabular_dataset,regression
Housing,"(545, 13)",0.5430958478827673,0.8390045166015625,0.5595753347862459,0.439882755279541,tabular_dataset,regression
