dataset,dataset_shape,autogluon_score,autogluon_time,accelera_score,accelera_time,dataset_type,problem_type,autogloun_model
startup_founder_burnout_2026,"(50000, 29)",1.0,502.57287311553955,1.0,42.77650499343872,tabular_dataset,classification,CAT
healthy_diet_calorie_intake,"(6000, 15)",1.0,503.9145781993866,1.0,246.57236075401306,tabular_dataset,classification,CAT
ai_student,"(50000, 16)",0.5378851362377872,75.42295026779175,0.5380390483198313,12.20227861404419,tabular_dataset,classification,CAT
gaming_addiction,"(250, 49)",1.0,76.29875826835632,1.0,15.547601461410522,tabular_dataset,classification,CAT
Teen_Mental_Health_Dataset,"(1200, 13)",0.9956483814692769,305.07860827445984,1.0,3.8020238876342773,tabular_dataset,classification,CAT
student_exam_performance_dataset,"(10000, 17)",0.8564062019394214,15.766671180725098,0.858,4.621443271636963,tabular_dataset,classification,CAT
heart,"(302, 14)",0.819672131147541,1.8218848705291748,0.8191869875670932,1.6705784797668457,tabular_dataset,classification,CAT
Dataset_spine,"(310, 7)",0.765103647045782,2.3249785900115967,0.765103647045782,2.266238212585449,tabular_dataset,classification,CAT
diabetes_dataset,"(100000, 31)",0.9993500064879188,17.55568242073059,0.9996000239218552,20.23052668571472,tabular_dataset,classification,CAT
student_placement_synthetic,"(100000, 18)",1.0,44.807724952697754,0.998800607037577,7.105818271636963,tabular_dataset,classification,CAT
Titanic-Dataset,"(891, 12)",0.7893686807533038,9.579642534255981,0.8253100360553113,2.267749547958374,tabular_dataset,classification,CAT
customer_purchase_data,"(1388, 9)",0.9243372569975171,1.955169439315796,0.9315932362571933,2.0889973640441895,tabular_dataset,classification,CAT
CarPrice_Assignment,"(205, 26)",0.9238274309898101,26.730712413787842,0.9127612787080327,6.341288089752197,tabular_dataset,regression,CAT
Concrete_Data_Yeh,"(1005, 9)",0.9420388876997792,57.018298625946045,0.9419428493024949,34.34596633911133,tabular_dataset,regression,CAT
job_salary_prediction_dataset,"(250000, 10)",0.9819169640541077,504.3511595726013,0.9817950346521715,178.2775273323059,tabular_dataset,regression,CAT
Housing,"(545, 13)",0.6134319305419922,24.530314445495605,0.590961342629283,3.159972906112671,tabular_dataset,regression,CAT
TestReviews,"(4148, 2)",0.9126202228377163,22.980392456054688,0.9017597496808907,44.359798192977905,text_dataset,classification,XGB
DailyDialog,"(10277, 2)",0.6036478803420815,20.546252727508545,0.5891975694777893,76.83254933357239,text_dataset,classification,XGB
