dataset,dataset_shape,autogluon_score,autogluon_time,accelera_score,accelera_time,dataset_type,problem_type,autogloun_model
startup_founder_burnout_2026,"(50000, 29)",1.0,486.7740979194641,1.0,177.7553174495697,tabular_dataset,classification,CAT
healthy_diet_calorie_intake,"(6000, 15)",1.0,501.22485637664795,1.0,264.02570366859436,tabular_dataset,classification,CAT
ai_student,"(50000, 16)",0.5378851362377872,84.13350415229797,0.5390328724062486,14.88327407836914,tabular_dataset,classification,CAT
gaming_addiction,"(250, 49)",1.0,82.751291513443,1.0,12.09728217124939,tabular_dataset,classification,CAT
Teen_Mental_Health_Dataset,"(1200, 13)",0.9956483814692769,422.025262594223,1.0,5.388105630874634,tabular_dataset,classification,CAT
student_exam_performance_dataset,"(10000, 17)",0.8564062019394214,16.260798692703247,0.855568,4.780291318893433,tabular_dataset,classification,CAT
heart,"(302, 14)",0.819672131147541,2.0927839279174805,0.8030671602326811,3.4735004901885986,tabular_dataset,classification,CAT
Dataset_spine,"(310, 7)",0.765103647045782,2.45550537109375,0.8131954591435316,2.5973260402679443,tabular_dataset,classification,CAT
diabetes_dataset,"(100000, 31)",0.9993500064879188,20.165485620498657,0.9994,9.615234613418579,tabular_dataset,classification,CAT
student_placement_synthetic,"(100000, 18)",1.0,55.286545515060425,0.998800607037577,5.703749418258667,tabular_dataset,classification,CAT
Titanic-Dataset,"(891, 12)",0.8134622171398872,10.86738657951355,0.8134622171398872,2.3289413452148438,tabular_dataset,classification,CAT
customer_purchase_data,"(1388, 9)",0.9243372569975171,2.239304304122925,0.9315932362571933,3.3690409660339355,tabular_dataset,classification,CAT
CarPrice_Assignment,"(205, 26)",0.9238274309898101,37.471741676330566,0.9087484161651013,5.498769044876099,tabular_dataset,regression,CAT
Concrete_Data_Yeh,"(1005, 9)",0.9420388876997792,68.10247206687927,0.9403457557991096,82.68754482269287,tabular_dataset,regression,CAT
job_salary_prediction_dataset,"(250000, 10)",0.9819128513336182,502.2211699485779,0.9817950346521715,172.5870397090912,tabular_dataset,regression,CAT
Housing,"(545, 13)",0.6134319305419922,25.73987627029419,0.5904673899027671,2.919447660446167,tabular_dataset,regression,CAT
TestReviews,"(4148, 2)",0.9063637678437446,30.954113483428955,0.9017597496808907,43.865333795547485,text_dataset,classification,XGB
DailyDialog,"(10277, 2)",0.552268862502148,17.07959771156311,0.5891975694777893,61.8713059425354,text_dataset,classification,XGB
