student_id,gender,age,parental_education,family_income,internet_access,study_environment,study_hours_per_day,attendance_rate,sleep_hours,social_media_hours,assignment_completion_rate,participation_score,online_courses_completed,tutoring,previous_gpa,pass_fail
S00001,Male,17,High School,Medium,Yes,Quiet,2.98,96.5,6.05,0.1,80.5,68.7,1,Yes,2.44,Fail
S00002,Female,18,High School,Low,Yes,Quiet,4.45,95.7,6.96,2.9,70.9,92.6,0,Yes,2.79,Pass
S00003,Male,17,High School,Medium,No,Quiet,3.75,76.0,7.02,2.4,77.6,45.8,4,Yes,1.49,Fail
S00004,Male,18,Bachelor,Medium,Yes,Quiet,2.03,72.6,6.23,3.5,63.5,72.9,4,No,1.34,Fail
S00005,Male,18,Bachelor,Medium,Yes,Quiet,5.14,87.3,8.54,2.1,71.8,55.7,0,No,2.6,Pass
S00006,Female,17,Master,Medium,Yes,Quiet,1.16,92.0,8.16,2.6,100.0,76.3,2,No,1.61,Fail
S00007,Male,16,High School,High,Yes,Quiet,3.33,74.2,7.34,3.9,81.3,41.8,1,No,1.35,Fail
S00008,Male,18,Bachelor,Low,Yes,Moderate,2.01,88.0,6.58,0.0,87.3,74.9,4,No,2.52,Pass
S00009,Male,17,Master,Medium,Yes,Moderate,1.22,70.4,7.96,1.1,79.6,99.1,2,No,1.2,Fail
S00010,Female,15,Master,Low,Yes,Quiet,1.64,95.6,7.51,1.7,81.0,61.8,2,Yes,2.02,Pass
S00011,Male,17,Master,Medium,Yes,Noisy,2.94,79.3,6.56,2.3,82.0,47.4,1,No,2.39,Pass
S00012,Male,15,Bachelor,Low,Yes,Moderate,3.42,83.4,7.97,0.4,76.4,79.9,6,No,2.27,Pass
S00013,Male,18,Master,Low,No,Moderate,4.27,93.6,7.37,1.1,88.9,65.3,0,No,2.01,Fail
S00014,Male,17,High School,Medium,Yes,Noisy,4.77,92.7,5.34,3.5,69.3,84.2,6,No,2.45,Pass
S00015,Female,17,Bachelor,Medium,Yes,Quiet,3.33,89.7,6.01,3.2,57.8,86.5,2,Yes,2.14,Fail
S00016,Male,15,High School,High,Yes,Moderate,2.47,95.3,5.67,0.0,83.0,85.5,1,Yes,2.25,Pass
