feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,label
0.699781,0.497306,1.15412,0.304823,1.00442,-1.3809,-0.630435,0.962211,-0.538986,-0.559301,-0.354756,1.32194,2.49334,-2.03726,0.763969,1.72643,1.35291,-1.46782,-0.517037,-1.6207,-1.99867,1.11771,1.08272,-2.12967,1.37397,2
-0.562017,-0.443644,0.775012,0.605929,-0.523929,-0.611288,0.131159,-0.470881,0.310022,0.958996,0.864806,-0.709959,0.0455771,0.262583,0.90819,1.75739,1.11183,0.786065,1.22866,0.411654,1.52531,-0.10714,-0.554912,0.158403,-0.488546,0
-1.2355,0.577247,0.580609,0.992959,1.17582,0.464418,0.434611,-0.843341,-1.23568,-0.31143,-0.366333,0.283534,1.17385,-0.887514,1.26273,-0.724029,-1.63704,1.23491,-0.815174,0.0906171,-0.845467,0.926146,1.7693,-0.640749,1.23152,2
0.996007,1.09411,0.895927,0.854362,-0.290328,2.08236,-1.19527,0.180891,-2.01174,1.45063,1.21383,0.726322,-0.798178,0.273961,1.43733,-0.472938,-0.0422424,-0.808888,-1.27417,1.69463,-1.3629,1.01602,0.78826,1.50502,0.356236,3
-0.777091,1.28527,-0.864442,-0.840419,-0.929041,-0.371886,-1.24996,0.872538,0.0627736,-1.93095,-0.74069,-0.939967,0.585479,-1.11888,-0.207115,0.198573,0.268164,-0.194698,1.02759,-0.947835,0.734059,0.188132,-0.493661,0.051036,-0.622599,1
-0.294172,1.71892,-0.720905,1.67703,0.18181,0.807705,-0.793792,1.20479,-2.16279,0.993252,-0.603009,-1.94017,-0.263955,-0.614373,0.572438,-1.35332,-0.257469,-2.09741,-0.916057,0.722125,0.239476,-0.730026,0.397867,0.554272,0.213354,3
-1.61937,0.809045,-0.354686,0.980059,-1.24275,0.649066,-0.294552,0.0939674,-0.206179,-1.31474,0.0379559,0.968369,1.44922,-0.740049,-0.785153,1.05491,0.406152,0.980003,0.648734,0.489246,-0.526271,0.754701,-0.939941,1.42704,-0.693454,1
0.517225,-0.57926,0.139877,1.69432,1.46563,-0.565713,0.117105,1.7334,-1.35855,0.10966,1.66685,-1.65823,-0.669284,-1.11648,0.616905,0.23739,-0.705605,-0.983873,-1.75635,1.59679,-0.23379,-1.39074,-1.79343,0.0909995,2.09131,3
-0.85891,-1.48748,-0.664089,1.41638,0.795158,-0.346409,1.73219,2.47855,-0.337252,1.08086,-0.547468,-0.582715,1.61477,-1.9885,-1.20427,0.603265,0.51913,-0.876008,-0.806792,1.61683,0.396539,-1.4982,-0.382368,0.196926,1.52593,2
-0.987286,0.0557279,0.380645,0.338563,1.39528,-0.462184,-0.638487,-0.359664,-0.483128,-0.480182,-0.481803,-1.12655,-0.758979,0.633403,-1.13869,1.08151,0.371402,-1.30614,-1.24758,-0.475438,-1.47993,0.371061,-0.799689,-0.270999,-0.409822,3
-1.12136,-0.837785,-2.38228,0.944991,-0.685071,-2.81633,0.125585,0.851758,0.496119,-1.901,-0.0954818,-0.826653,0.808165,1.59434,-0.509404,0.977444,0.864592,0.494483,0.656658,-0.821997,-0.416815,-1.66584,0.975858,1.34957,-1.26013,0
